reviewer_name,rating,review_date_raw,review_text,useful,funny,cool,source
Debbie A.,3,2023-10-22T03:25:20Z,"The supermarket was well kept, clean and organized unlike many African markets in the East Coast. There was a ""hot food"" section which allows customers to pick food themselves which may be a food safety concern because some food cases were left open and some items looks picked through. I was going to try the scotch egg and realized that the case that it was in was pretty cold. I went next door to the restaurant portion and they had hot scotch eggs but it had no flavor. I would only visit the market for the plentiful grocery options but not the hot food.",0,0,0,yelp
Latia R.,3,2023-07-24T01:37:56Z,I love eating Nigerian food. The Jollof Rice is by far the best rice I've ever tasted. The rice is full of flavor with just the rice spice. The Red Stew is so good and definitely a favorite of mines. The restaurant is very small but cute. They have a small sit down area as well. The customer service is good as well.,0,0,0,yelp
Yo M.,1,2022-05-27T16:17:09Z,"I live near this location and have visited multiple times. I gave them numerous chances they are just too inconsistent. I watched the server intentionally select the pictured beef meat. There was no meat on the steamtable and she went to get more and returned with this burnt mess! Sometimes the food is overcooked, burnt and sometimes it's good and fresh. They are too inconsistent for me!",0,0,0,yelp
Immaculata O.,3,2022-05-14T02:46:03Z,The kitchen staff need to manage their time well. They need to make sure that they meet up with the pick up time. I almost rejected the food I ordered due to poor time managemen.,0,0,0,yelp
Chi O.,5,2022-03-25T20:30:01Z,Best place to get a essence of Africa! And the food is good in fact I'm going now. It's also a market so u can buy your African groceries here like red palm oil and digestive biscuits hahaha,0,1,0,yelp
Linda F.,5,2022-03-25T18:55:19Z,"SO! my 5 stars is for the store, customer service is AMAZING, they are so sweet and make you want to go back (very polite). Food is on point, wish every Nigerian establishment would have people as polite as these guys. HOWEVER!!! The Kitchen OMG ppl are not cheerful, it's like they don't want to be there; the difference is so clear (but the food is great!). Cos I absolutely love the store they get 5 stars :)",0,0,0,yelp
Kingsley O.,5,2022-01-30T00:43:03Z,i was their for a plate of jelof rice but ended up buying mor because of the pretty ass server and her calmness. she made my visitation good. i forgot her name but she is cool.,0,0,0,yelp
Frances O.,2,2021-12-15T01:22:38Z,"I pop into Wazobia for ready-to-eat food and snacks. Their jollof rice was incredible until today. I don't know what happened, but this is not the rice I can't wait to rush home and devour. For this jollof rice, I can wait for a tasty one.",0,0,0,yelp
Adedoyin A.,4,2021-12-04T20:42:09Z,Love this market! I will always make a point to visit when I'm in town. Missing the fried rice already.,0,0,0,yelp
Tash T.,1,2021-07-11T20:37:21Z,"The absolute, hands-down, worst service ever!! My husband called in an order, having been on the phone for greater than 10 minutes, for me to get there for pickup and be told an order was never placed. I offered the young lady attending me to speak with him via phone and was met with an impatient attitude as if she were not being paid to be there. What I find simply amazing is the fact that if a white patron came in they would likely roll out the red carpet, yet they treat their loyal customers like trash. Well, guess what, that one visit a year from a white patron cannot pay your bills! Never again will I patronize this business, as this is the second time I have been met with such disrespect, disorganization, and rudeness!! By the way, I get home to find one of the plantains we ordered already had a bite in it, see picture below. Neither I, nor our daughter, opened any of the containers before getting home.",1,0,0,yelp
